,momentum_baseline,equal_weight,model_walkforward,model_risk_managed,momentum_balanced,momentum_aggressive,buy_hold_SPY
2019-09-13,2.0026917645511086,1.7251986374337454,2.9308259474647684,2.149837528935976,1.7647272760156913,2.0036880033475586,1.6704299946002148
2019-09-16,2.0026917645511086,1.7251986374337454,2.9308259474647684,2.149837528935976,1.7647272760156913,2.0036880033475586,1.6652707402157183
2019-09-17,2.0026917645511086,1.7251986374337454,2.9308259474647684,2.149837528935976,1.7647272760156913,2.0036880033475586,1.6694869493346032
2019-09-18,2.0026917645511086,1.7251986374337454,2.9308259474647684,2.149837528935976,1.7647272760156913,2.0036880033475586,1.6704857319046877
2019-09-19,1.9747724105592728,1.726467585359892,2.95131768079126,2.162213534207218,1.7505566163714996,1.975754760876172,1.6703744443336763
2019-09-20,1.9747724105592728,1.726467585359892,2.95131768079126,2.162213534207218,1.7505566163714996,1.975754760876172,1.6624823786885985
2019-09-23,1.9747724105592728,1.726467585359892,2.95131768079126,2.162213534207218,1.7505566163714996,1.975754760876172,1.6620918434814194
2019-09-24,1.9747724105592728,1.726467585359892,2.95131768079126,2.162213534207218,1.7505566163714996,1.975754760876172,1.6490502494244375
2019-09-25,1.9747724105592728,1.726467585359892,2.95131768079126,2.162213534207218,1.7505566163714996,1.975754760876172,1.6588039036313227
2019-09-26,1.9916546980195455,1.7129795956514304,2.891277456762738,2.146091097728245,1.752849807831767,1.992645446428472,1.6553480037160697
2019-09-27,1.9916546980195455,1.7129795956514304,2.891277456762738,2.146091097728245,1.752849807831767,1.992645446428472,1.646430970190081
2019-09-30,1.9916546980195455,1.7129795956514304,2.891277456762738,2.146091097728245,1.752849807831767,1.992645446428472,1.654066232751128
2019-10-01,1.9916546980195455,1.7129795956514304,2.891277456762738,2.146091097728245,1.752849807831767,1.992645446428472,1.6343918994618731
2019-10-02,1.9916546980195455,1.7129795956514304,2.891277456762738,2.146091097728245,1.752849807831767,1.992645446428472,1.605520910934593
2019-10-03,1.9190928162177248,1.6674453399995397,2.8283030368782627,2.0939449985116174,1.6895242537181054,1.920047468726586,1.6186745407143242
2019-10-04,1.9190928162177248,1.6674453399995397,2.8283030368782627,2.0939449985116174,1.6895242537181054,1.920047468726586,1.640578740258363
2019-10-07,1.9190928162177248,1.6674453399995397,2.8283030368782627,2.0939449985116174,1.6895242537181054,1.920047468726586,1.633500102590307
2019-10-08,1.9190928162177248,1.6674453399995397,2.8283030368782627,2.0939449985116174,1.6895242537181054,1.920047468726586,1.6081400031310151
2019-10-09,1.9190928162177248,1.6674453399995397,2.8283030368782627,2.0939449985116174,1.6895242537181054,1.920047468726586,1.6234112764048465
2019-10-10,1.9389921501306135,1.6746414881484974,2.7535630653300944,2.086293646027914,1.7113755244996984,1.9399567015609256,1.6343918994618731
